冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？	傻瓜 
三个人，竖着站成一排。有五个帽子，三个蓝色，两个红色，每人带一个，各自不准看自己的颜色。然后问第一个人带的什么颜色的帽子，他说不知道，然后又问第二个人带的什么颜色的帽子，同样说不知道，又问第三个人带的	是蓝色。 
為什么男人和女人会分手？	因为男女有「別」 
世界上什么样的海最大？	苦海，苦海无崖 
有个人不是官，却负责全公司职工干部上上下下的工作。这个人是干什么的?	开电梯的 
为什么流氓坐车不要钱？	囚车。 
考试时，阿财一題都不会写，但是为什么突然眼睛一亮，开始振笔疾书？	他在写班级、座号、姓名。 
王大婶整天说个不停，可有一个月她说的最少，那时哪个月？	二月份 
一个并非神枪手的人手持猎枪，另一个人将一顶帽子挂起来，然后将持枪人的眼睛蒙上，让他向后走10步，再向左转走10步，最后让他转身对帽子射击，结果他一枪打中了帽子，这怎么一回事？	另一个人把帽子挂在他枪口上 
三个金“鑫”，三个水叫“淼”，三个人叫“众”，那么三个鬼应该叫什么?	叫“救命” 
小胖在大扫除时偷吃紅豆冰棒被老师看见，老师生气的问：「太闲了是不是!?」，结果小胖说了什么，害老师差点当场昏倒？	小胖說：「老师，紅豆冰棒是甜的。」 
芳芳在学校门口将学生证掉了，它该怎么办？	她该捡起来 
有两个棋友他们在同一天中一共下了9盘棋，结果在没有和局的情况下他俩赢的次数相同，这是怎么一回事？	这九盘棋不都是他们俩之间下的 
上海的南京路，来往最多的是什么人?	中国人 
大人上班迟到的原因是塞车，小孩上学迟到的原因是什么？	大人睡过头了 
人在什么情况下会七窍生烟？	火葬的时候 
老师用篮子拿来了五个苹果，准备分给五个小朋友，每个小朋友分一个，但是篮子里还要留一个，请问怎么分？	五个人分一个，分四次 
小李因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？	他是早上才回家 
黃皮肤的人是黃种人，绿皮肤的人属于哪一种？	新品种 
有爷俩，娘俩和兄妹俩，只有6个烧饼，但却每人分得了两个，这是为什么？	他们只有三个人：母亲，儿子，舅舅 
一个猎人，一只枪，抢射程１００米，有一个狼离猎人２００米，猎人和狼都不动，可是猎人却开枪把狼打死了？	枪长一百米。 
卖火柴的小女孩如果投胎转世來到现代，最有可能变成什么？	兼售打火机的槟榔西施 
为什么全世界的母鸡都是短腿？	这样鸡蛋就不会摔破 
什么地方的水太阳愈強烈照射，水反而愈來愈多？	雪地 
小明从来没去过美国，他想去美国，至少应花多少钱？	光想是不用花钱的。 
什么东西说“父亲”是不会相碰，叫“爸爸”时却会碰到两次？	上下嘴唇 
有两个人同时来到了河边，都想过河，但却只有一条小船，而且小船只能载1个人，请问，他们能否都过河？	能，因为他们分别在河的两边。
动物园里只比大象鼻子短的动物是什么？	小象
